"Species";"Group"
"Basiliscus vittatus";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boaedon fuliginosus";"Reptilia"
"Boaedon fuliginosus";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Bolitoglossa rufescens";"Amphibia"
"Bombina bombina";"Amphibia"
"Bombina variegata";"Amphibia"
"Bothriechis schlegelii";"Reptilia"
"Bothriechis schlegelii";"Reptilia"
"Brachylophus bulabula";"Reptilia"
"Brachylophus fasciatus";"Reptilia"
"Bradypodion pumilum";"Reptilia"
"Bufo bufo";"Amphibia"
"Bufo dhufarensis";"Amphibia"
"Bufo gargarizans";"Amphibia"
"Bufo mauritanicus";"Amphibia"
"Bufo mauritanicus";"Amphibia"
"Bufo stomaticus";"Amphibia"
"Bufotes viridis";"Amphibia"
"Bungarus fasciatus";"Reptilia"
"Bungarus fasciatus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Calotes mystaceus";"Reptilia"
"Calotes mystaceus";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Candoia bibroni";"Reptilia"
"Carlia ailanpalai";"Reptilia"
"Carlia ailanpalai";"Reptilia"
"Carlia ailanpalai";"Reptilia"
"Carlia schmeltzii";"Reptilia"
"Carlia tutela";"Reptilia"
"Carphophis amoenus";"Reptilia"
"Centrochelys sulcata";"Reptilia"
"Chalcides chalcides";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides viridanus";"Reptilia"
"Chamaeleo africanus";"Reptilia"
"Chamaeleo africanus";"Reptilia"
"Chamaeleo calyptratus";"Reptilia"
"Chamaeleo calyptratus";"Reptilia"
"Chamaeleo calyptratus";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo chamaeleon";"Reptilia"
"Chamaeleo gracilis";"Reptilia"
"Chamaeleo jacksonii";"Reptilia"
"Chamaeleo jacksonii";"Reptilia"
"Chamaeleo jacksonii";"Reptilia"
"Chamaeleo jacksonii";"Reptilia"
"Chamaeleo melleri";"Reptilia"
"Chamaeleon jacksonii";"Reptilia"
"Chamaeleon jacksonii";"Reptilia"
"Chamaeleon jacksonii";"Reptilia"
"Chelodina expansa";"Reptilia"
"Chelodina longicollis";"Reptilia"
"Chelodina longicollis";"Reptilia"
"Chelodina longicollis";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis carbonarius";"Reptilia"
"Chelonoidis denticulata";"Reptilia"
"Chelonoidis denticulata";"Reptilia"
"Chelus fimbriatus";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chelydra serpentina";"Reptilia"
"Chersina angulata";"Reptilia"
"Chondrodactylus bibronii";"Reptilia"
"Chondrodactylus bibronii";"Reptilia"
"Chondrodactylus bibronii";"Reptilia"
"Chondrodactylus bibronii";"Reptilia"
"Christinus marmoratus";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Chrysemys picta";"Reptilia"
"Clemmys guttata";"Reptilia"
"Cnemidophorus lemniscatus";"Reptilia"
"Cnemidophorus lemniscatus";"Reptilia"
"Cnemidophorus lemniscatus";"Reptilia"
"Cnemidophorus lemniscatus";"Reptilia"
"Coluber constrictor";"Reptilia"
"Cophixalus ornatus";"Amphibia"
"Corallus annulatus";"Reptilia"
"Corallus caninus";"Reptilia"
"Corallus caninus";"Reptilia"
"Corallus hortulanus";"Reptilia"
"Cordylus cordylus";"Reptilia"
"Cordylus giganteus";"Reptilia"
"Cordylus jonesii";"Reptilia"
"Coronella austriaca";"Reptilia"
"Crinia signifera";"Amphibia"
"Crocodylus acutus";"Reptilia"
"Crocodylus niloticus";"Reptilia"
"Crocodylus niloticus";"Reptilia"
"Crotalus adamanteus";"Reptilia"
"Crotalus adamanteus";"Reptilia"
"Crotalus atrox";"Reptilia"
"Crotalus atrox";"Reptilia"
"Crotalus horridus";"Reptilia"
"Crotalus horridus";"Reptilia"
"Crotalus scutulatus";"Reptilia"
"Crotalus viridis";"Reptilia"
"Crotalus viridis";"Reptilia"
"Crotalus viridis";"Reptilia"
"Crotalus viridis";"Reptilia"
"Crotalus viridis";"Reptilia"
"Crotaphytus collaris";"Reptilia"
"Crotaphytus collaris";"Amphibia"
"Cryptoblepharus plagiocephalus";"Reptilia"
"Cryptoblepharus plagiocephalus";"Reptilia"
"Cryptoblepharus poecilopleurus";"Reptilia"
"Cryptoblepharus poecilopleurus";"Reptilia"
"Cryptoblepharus poecilopleurus";"Reptilia"
"Cryptoblepharus poecilopleurus";"Reptilia"
"Cryptoblepharus virgatus";"Reptilia"
"Cryptoblepharus virgatus";"Reptilia"
"Cryptobranchus alleganiensis";"Amphibia"
"Cryptophis nigrescens";"Reptilia"
"Ctenosaura hemilopha";"Reptilia"
"Ctenosaura pectinata";"Reptilia"
"Ctenosaura pectinata";"Reptilia"
"Ctenosaura pectinata";"Reptilia"
"Ctenosaura similis";"Reptilia"
"Ctenosaura similis";"Reptilia"
"Cuora amboinensis";"Reptilia"
"Cuora amboinensis";"Reptilia"
"Cuora flavomarginata";"Reptilia"
"Cuora flavomarginata";"Reptilia"
"Cuora flavomarginata";"Reptilia"
"Cuora trifasciata";"Reptilia"
"Cuora trifasciata";"Reptilia"
"Cyclura cornuta";"Reptilia"
"Cyclura cornuta";"Reptilia"
"Cyclura nubila";"Reptilia"
"Cyclura nubila";"Reptilia"
"Cynops pyrrhogaster";"Amphibia"
"Cynops pyrrhogaster";"Amphibia"
"Cyrtopodion caspium";"Reptilia"
"Cyrtopodion kotschyi";"Reptilia"
"Cyrtopodion kotschyi";"Reptilia"
"Cyrtopodion kotschyi";"Reptilia"
"Cyrtopodion scabrum";"Reptilia"
"Cyrtopodion scabrum";"Reptilia"
"Cyrtopodion scabrum";"Reptilia"
"Cyrtopodion scabrum";"Reptilia"
"Cyrtopodion scabrum ";"Reptilia"
"Darevskia armeniaca";"Reptilia"
"Darevskia dahli";"Reptilia"
"Darevskia mixta";"Reptilia"
"Darevskia valentini";"Reptilia"
"Deirochelys reticularia";"Reptilia"
"Dendrelaphis caudolineatus";"Reptilia"
"Dendrelaphis punctulatus";"Reptilia"
"Dendrelaphis punctulatus";"Reptilia"
"Dendrobates auratus";"Amphibia"
"Desmognathus fuscus";"Amphibia"
"Desmognathus fuscus";"Amphibia"
"Desmognathus monticola";"Amphibia"
"Desmognathus quadramaculatus";"Amphibia"
"Diadophis punctatus";"Reptilia"
"Diadophis punctatus";"Reptilia"
"Diadophis punctatus";"Reptilia"
"Diplodactylus ciliaris";"Reptilia"
"Discoglossus pictus";"Amphibia"
"Discoglossus pictus";"Amphibia"
"Discoglossus pictus";"Amphibia"
"Discoglossus pictus";"Amphibia"
"Drymarchon corais";"Reptilia"
"Drymarchon corais";"Reptilia"
"Drymarchon corais";"Reptilia"
"Duttaphrynus melanostictus";"Amphibia"
"Duttaphrynus melanostictus";"Amphibia"
"Duttaphrynus melanostictus";"Amphibia"
"Duttaphrynus melanostictus";"Amphibia"
"Duttaphrynus melanostictus";"Amphibia"
"Duttaphrynus melanostictus";"Amphibia"
"Ebenavia inunguis";"Reptilia"
"Egernia cunninghami";"Reptilia"
"Egernia depressa";"Reptilia"
"Egernia depressa";"Reptilia"
"Egernia formosa";"Reptilia"
"Egernia stokesii";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe guttata";"Reptilia"
"Elaphe longissima";"Reptilia"
"Elaphe longissima";"Reptilia"
"Elaphe longissima";"Reptilia"
"Elaphe longissima";"Reptilia"
"Elaphe obsoleta";"Reptilia"
"Elaphe obsoleta";"Reptilia"
"Elaphe obsoleta";"Reptilia"
"Elaphe obsoleta";"Reptilia"
"Elaphe obsoleta";"Reptilia"
"Elaphe quadrivirgata";"Reptilia"
"Elaphe schrenckii";"Reptilia"
"Elaphe taeniura";"Reptilia"
"Elaphe taeniura";"Reptilia"
"Eleutherodactylus antillensis";"Amphibia"
"Eleutherodactylus antillensis";"Amphibia"
"Eleutherodactylus cochranae";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus coqui";"Amphibia"
"Eleutherodactylus cystignathoides";"Amphibia"
"Eleutherodactylus cystignathoides";"Amphibia"
"Eleutherodactylus gossei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus johnstonei";"Amphibia"
"Eleutherodactylus martinicensis";"Amphibia"
"Eleutherodactylus martinicensis";"Amphibia"
"Eleutherodactylus martinicensis";"Amphibia"
"Eleutherodactylus martinicensis";"Amphibia"
"Eleutherodactylus martinicensis";"Amphibia"
"Eleutherodactylus martinicensis";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Reptilia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Eleutherodactylus planirostris";"Amphibia"
"Elgaria multicarinata";"Reptilia"
"Elgaria multicarinata";"Reptilia"
"Elseya dentata";"Reptilia"
"Elseya latisternum";"Reptilia"
"Elusor macrurus";"Reptilia"
"Emoia adspersa";"Reptilia"
"Emoia cyanura";"Reptilia"
"Emoia cyanura";"Reptilia"
"Emoia cyanura";"Reptilia"
"Emoia impar";"Reptilia"
"Emoia impar";"Reptilia"
"Emoia impar";"Reptilia"
"Emoia trossula";"Reptilia"
"Emydoidea blandingi";"Reptilia"
"Emydoidea blandingi";"Reptilia"
"Emydoidea blandingi";"Reptilia"
"Emydura macquarii";"Reptilia"
"Emydura macquarii";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Emys orbicularis";"Reptilia"
"Engystomops pustulosus";"Amphibia"
"Epicrates cenchria";"Reptilia"
"Epicrates cenchria";"Reptilia"
"Eulamprus quoyii";"Reptilia"
"Eumeces obsoletus";"Reptilia"
"Eunectes murinus";"Reptilia"
"Eunectes notaeus";"Reptilia"
"Euphlyctis ehrenbergii";"Amphibia"
"Eurycea cirrigera";"Amphibia"
"Eutropis carinata";"Reptilia"
"Eutropis cumingi";"Reptilia"
"Fejervarya cancrivora";"Amphibia"
"Fejervarya limnocharis";"Amphibia"
"Fejervarya verruculosa";"Amphibia"
"Furcifer oustaleti";"Reptilia"
"Furcifer pardalis";"Reptilia"
"Furcifer pardalis";"Reptilia"
"Furcifer pardalis";"Reptilia"
"Furcifer verrucosus";"Reptilia"
"Gallotia caesaris";"Reptilia"
"Gastrophryne carolinensis";"Amphibia"
"Gastrophryne carolinensis";"Amphibia"
"Gehyra dubia";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra mutilata";"Reptilia"
"Gehyra oceanica";"Reptilia"
"Gehyra oceanica";"Reptilia"
"Gehyra oceanica";"Reptilia"
"Gehyra oceanica";"Reptilia"
"Gehyra variegata";"Reptilia"
"Gekko badenii ";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko gecko";"Reptilia"
"Gekko monarchus";"Reptilia"
"Gekko monarchus";"Reptilia"
"Geochelone elegans";"Reptilia"
"Glyptemys insculpta";"Reptilia"
"Glyptemys insculpta";"Reptilia"
"Glyptemys insculpta";"Reptilia"
"Glyptemys muhlenbergii";"Reptilia"
"Glyptemys muhlenbergii";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes albogularis";"Reptilia"
"Gonatodes antillensis";"Reptilia"
"Gonatodes caudiscutatus";"Reptilia"
"Gonatodes vittatus";"Reptilia"
"Gonatodes vittatus";"Reptilia"
"Gonatodes vittatus";"Reptilia"
"Gopherus agassizii";"Reptilia"
"Gopherus agassizii";"Reptilia"
"Gopherus berlandieri";"Reptilia"
"Gopherus berlandieri";"Reptilia"
"Gopherus berlandieri";"Reptilia"
"Gopherus berlandieri";"Reptilia"
"Gopherus berlandieri";"Reptilia"
"Gopherus berlandieri";"Reptilia"
"Gopherus flavomarginatus";"Reptilia"
"Gopherus polyphemus";"Reptilia"
"Gopherus polyphemus";"Reptilia"
"Gopherus polyphemus";"Reptilia"
"Graptemys geographica";"Reptilia"
"Graptemys geographica";"Reptilia"
"Graptemys geographica";"Reptilia"
"Graptemys geographica";"Reptilia"
"Graptemys ouachitensis";"Reptilia"
"Graptemys ouachitensis";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Graptemys pseudogeographica";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Amphibia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Gymnophthalmus underwoodi";"Reptilia"
"Heloderma horridum";"Reptilia"
"Heloderma suspectum";"Reptilia"
"Heloderma suspectum";"Reptilia"
"Hemidactylus angulatus";"Reptilia"
"Hemidactylus angulatus";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus brookii";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus flaviviridis";"Reptilia"
"Hemidactylus frenatus";"Reptilia"
"Hemidactylus frenatus";"Reptilia"
"Hemidactylus frenatus";"Reptilia"
